@relation .a/yeast1/yeast1
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.59, 0.58, 0.56, 0.21, 0.5, 0.0, 0.54, 0.33, positive
0.39, 0.45, 0.53, 0.18, 0.5, 0.0, 0.54, 0.22, negative
0.63, 0.61, 0.41, 0.22, 0.5, 0.0, 0.51, 0.22, negative
0.36, 0.46, 0.43, 0.19, 0.5, 0.0, 0.48, 0.22, negative
0.25, 0.4, 0.51, 0.18, 0.5, 0.0, 0.5, 0.27, negative
0.56, 0.62, 0.53, 0.24, 0.5, 0.0, 0.57, 0.22, negative
0.71, 0.59, 0.53, 0.15, 0.5, 0.0, 0.49, 0.33, negative
0.45, 0.4, 0.56, 0.14, 0.5, 0.0, 0.54, 0.22, negative
0.37, 0.43, 0.62, 0.27, 0.5, 0.0, 0.48, 0.22, positive
0.44, 0.44, 0.49, 0.15, 0.5, 0.0, 0.46, 0.27, positive
0.64, 0.53, 0.45, 0.13, 0.5, 0.0, 0.53, 0.22, negative
0.58, 0.45, 0.48, 0.24, 0.5, 0.0, 0.52, 0.37, negative
0.58, 0.41, 0.51, 0.26, 0.5, 0.0, 0.51, 0.37, negative
0.38, 0.49, 0.61, 0.13, 0.5, 0.0, 0.54, 0.22, negative
0.21, 0.38, 0.49, 0.16, 0.5, 0.0, 0.51, 0.45, negative
0.37, 0.34, 0.58, 0.24, 0.5, 0.0, 0.44, 0.18, positive
0.37, 0.34, 0.58, 0.24, 0.5, 0.0, 0.44, 0.18, positive
0.39, 0.39, 0.55, 0.52, 0.5, 0.0, 0.37, 0.16, positive
0.56, 0.44, 0.56, 0.19, 0.5, 0.0, 0.54, 0.22, negative
0.51, 0.63, 0.3, 0.35, 0.5, 0.0, 0.53, 0.27, negative
0.37, 0.22, 0.64, 0.35, 0.5, 0.0, 0.47, 0.22, positive
0.29, 0.68, 0.47, 0.26, 0.5, 0.0, 0.47, 0.37, positive
0.85, 0.85, 0.3, 0.31, 0.5, 0.0, 0.55, 0.42, negative
0.61, 0.54, 0.49, 0.19, 0.5, 0.0, 0.54, 0.47, negative
0.32, 0.34, 0.61, 0.17, 0.5, 0.0, 0.52, 0.32, positive
0.51, 0.43, 0.63, 0.18, 0.5, 0.0, 0.52, 0.22, negative
0.54, 0.45, 0.62, 0.13, 0.5, 0.0, 0.52, 0.26, positive
0.89, 0.81, 0.36, 0.71, 0.5, 0.0, 0.55, 0.63, negative
0.65, 0.61, 0.39, 0.3, 0.5, 0.0, 0.57, 0.28, negative
0.54, 0.51, 0.54, 0.52, 0.5, 0.0, 0.47, 0.25, negative
0.57, 0.49, 0.48, 0.16, 0.5, 0.0, 0.51, 0.22, positive
0.87, 0.83, 0.57, 0.36, 0.5, 0.0, 0.36, 0.22, negative
0.94, 0.6, 0.33, 0.49, 0.5, 0.0, 0.54, 0.22, negative
0.42, 0.51, 0.39, 0.22, 0.5, 0.0, 0.49, 0.26, negative
0.42, 0.32, 0.48, 0.16, 0.5, 0.0, 0.55, 0.22, negative
0.43, 0.38, 0.51, 0.24, 0.5, 0.0, 0.46, 0.33, positive
0.83, 0.53, 0.52, 0.2, 0.5, 0.0, 0.48, 0.25, negative
0.46, 0.14, 0.36, 0.21, 0.5, 0.0, 0.5, 0.25, negative
0.52, 0.49, 0.57, 0.57, 0.5, 0.0, 0.51, 0.22, positive
0.72, 0.58, 0.42, 0.28, 0.5, 0.0, 0.48, 0.22, negative
0.58, 0.49, 0.5, 0.41, 0.5, 0.0, 0.57, 0.22, negative
0.7, 0.53, 0.42, 0.22, 0.5, 0.0, 0.51, 0.28, positive
0.43, 0.83, 0.55, 0.2, 0.5, 0.0, 0.47, 0.4, positive
0.89, 0.52, 0.41, 0.26, 0.5, 0.0, 0.52, 0.31, negative
0.67, 0.51, 0.54, 0.21, 0.5, 0.0, 0.43, 0.3, negative
0.53, 0.42, 0.58, 0.29, 0.5, 0.0, 0.5, 0.22, negative
0.6, 0.46, 0.59, 0.16, 0.5, 0.0, 0.49, 0.22, negative
0.58, 0.53, 0.5, 0.53, 0.5, 0.0, 0.47, 0.31, negative
0.4, 0.74, 0.49, 0.16, 0.5, 0.0, 0.51, 0.22, negative
0.58, 0.57, 0.54, 0.69, 0.5, 0.0, 0.54, 0.22, negative
0.57, 0.4, 0.48, 0.24, 0.5, 0.0, 0.55, 0.22, negative
0.53, 0.41, 0.5, 0.24, 1.0, 0.0, 0.47, 0.22, negative
0.33, 0.48, 0.55, 0.16, 0.5, 0.0, 0.53, 0.75, positive
0.7, 0.84, 0.49, 0.28, 1.0, 0.0, 0.58, 0.22, negative
0.51, 0.46, 0.49, 0.21, 0.5, 0.0, 0.55, 0.22, negative
0.46, 0.49, 0.45, 0.28, 0.5, 0.0, 0.55, 0.22, negative
0.75, 0.6, 0.43, 0.35, 0.5, 0.0, 0.45, 0.27, negative
0.48, 0.52, 0.49, 0.35, 0.5, 0.5, 0.51, 0.22, negative
0.39, 0.81, 0.35, 0.28, 0.5, 0.0, 0.51, 0.45, negative
0.38, 0.48, 0.51, 0.13, 0.5, 0.0, 0.5, 0.32, positive
0.37, 0.48, 0.5, 0.26, 0.5, 0.0, 0.52, 0.39, positive
0.46, 0.62, 0.54, 0.25, 0.5, 0.0, 0.46, 0.22, negative
0.33, 0.39, 0.52, 0.09, 0.5, 0.0, 0.47, 0.28, positive
0.32, 0.48, 0.49, 0.17, 0.5, 0.0, 0.47, 0.22, positive
0.33, 0.21, 0.53, 0.15, 1.0, 0.0, 0.52, 0.5, positive
0.51, 0.39, 0.56, 0.25, 0.5, 0.0, 0.51, 0.33, positive
0.48, 0.56, 0.49, 0.32, 0.5, 0.0, 0.5, 0.22, negative
0.53, 0.45, 0.53, 0.18, 0.5, 0.0, 0.42, 0.22, negative
0.46, 0.43, 0.5, 0.24, 0.5, 0.0, 0.48, 0.31, negative
0.68, 0.53, 0.44, 0.31, 0.5, 0.0, 0.51, 0.22, negative
0.61, 0.39, 0.53, 0.14, 0.5, 0.0, 0.43, 0.26, positive
0.52, 0.5, 0.51, 0.2, 0.5, 0.0, 0.51, 0.22, positive
0.44, 0.45, 0.53, 0.19, 0.5, 0.0, 0.41, 0.28, positive
0.47, 0.45, 0.51, 0.33, 0.5, 0.0, 0.46, 0.26, positive
0.37, 0.3, 0.51, 0.15, 0.5, 0.0, 0.58, 0.26, positive
0.46, 0.35, 0.69, 0.18, 0.5, 0.0, 0.3, 0.25, negative
0.34, 0.34, 0.65, 0.4, 0.5, 0.0, 0.32, 0.16, negative
0.73, 0.6, 0.47, 0.2, 0.5, 0.0, 0.72, 0.22, negative
0.46, 0.39, 0.54, 0.22, 0.5, 0.0, 0.48, 0.25, negative
0.6, 0.51, 0.49, 0.18, 0.5, 0.0, 0.53, 0.38, negative
0.55, 0.55, 0.52, 0.13, 0.5, 0.0, 0.53, 0.25, negative
0.56, 0.49, 0.32, 0.22, 0.5, 0.0, 0.5, 0.22, negative
0.56, 0.59, 0.45, 0.15, 0.5, 0.0, 0.54, 0.22, negative
0.47, 0.56, 0.53, 0.44, 0.5, 0.0, 0.53, 0.22, negative
0.42, 0.28, 0.49, 0.22, 0.5, 0.0, 0.55, 0.34, positive
0.56, 0.55, 0.57, 0.15, 0.5, 0.0, 0.54, 0.25, negative
0.48, 0.55, 0.58, 0.18, 0.5, 0.0, 0.38, 0.69, positive
0.55, 0.4, 0.62, 0.22, 0.5, 0.0, 0.37, 0.28, positive
0.51, 0.5, 0.54, 0.11, 0.5, 0.0, 0.6, 0.22, positive
0.52, 0.47, 0.58, 0.18, 0.5, 0.0, 0.34, 0.11, negative
0.55, 0.46, 0.47, 0.15, 0.5, 0.0, 0.47, 0.22, negative
0.7, 0.58, 0.53, 0.39, 0.5, 0.0, 0.59, 0.22, negative
0.36, 0.37, 0.63, 0.25, 0.5, 0.0, 0.3, 0.22, negative
0.58, 0.64, 0.42, 0.3, 0.5, 0.0, 0.54, 0.22, positive
0.58, 0.37, 0.58, 0.16, 0.5, 0.0, 0.51, 0.22, positive
0.39, 0.39, 0.65, 0.16, 0.5, 0.0, 0.45, 0.22, negative
0.23, 0.29, 0.46, 0.0, 0.5, 0.0, 0.43, 0.31, negative
0.39, 0.47, 0.49, 0.2, 0.5, 0.0, 0.53, 0.26, negative
0.59, 0.48, 0.49, 0.42, 0.5, 0.0, 0.52, 0.22, negative
0.49, 0.51, 0.52, 0.13, 0.5, 0.0, 0.51, 0.33, positive
0.63, 0.43, 0.48, 0.11, 0.5, 0.0, 0.51, 0.22, negative
0.63, 0.43, 0.48, 0.11, 0.5, 0.0, 0.51, 0.22, negative
0.38, 0.42, 0.5, 0.19, 0.5, 0.0, 0.44, 0.22, negative
0.47, 0.56, 0.58, 0.19, 0.5, 0.0, 0.44, 0.64, negative
0.45, 0.36, 0.5, 0.19, 0.5, 0.0, 0.53, 0.7, positive
0.53, 0.51, 0.54, 0.21, 0.5, 0.0, 0.45, 0.22, positive
0.42, 0.45, 0.75, 0.21, 0.5, 0.0, 0.48, 0.22, negative
0.45, 0.76, 0.51, 0.25, 0.5, 0.0, 0.59, 0.22, negative
0.79, 0.62, 0.35, 0.35, 0.5, 0.0, 0.6, 0.28, negative
0.61, 0.73, 0.5, 0.58, 0.5, 0.0, 0.5, 0.22, negative
0.27, 0.43, 0.5, 0.13, 0.5, 0.0, 0.54, 0.31, negative
0.5, 0.47, 0.45, 0.14, 0.5, 0.0, 0.53, 0.32, negative
0.44, 0.35, 0.55, 0.14, 0.5, 0.0, 0.52, 0.22, negative
0.48, 0.49, 0.49, 0.26, 0.5, 0.0, 0.39, 0.27, negative
0.56, 0.68, 0.42, 0.36, 0.5, 0.0, 0.49, 0.22, negative
0.28, 0.41, 0.46, 0.18, 0.5, 0.0, 0.47, 0.39, positive
0.22, 0.53, 0.36, 0.22, 0.5, 0.0, 0.54, 0.31, negative
0.3, 0.68, 0.41, 0.17, 0.5, 0.0, 0.51, 0.22, negative
0.69, 0.57, 0.39, 0.19, 0.5, 0.0, 0.48, 0.39, negative
0.64, 0.44, 0.56, 0.15, 0.5, 0.0, 0.56, 0.22, negative
0.33, 0.38, 0.47, 0.14, 0.5, 0.0, 0.51, 0.47, positive
0.38, 0.67, 0.33, 0.17, 0.5, 0.0, 0.51, 0.22, negative
0.92, 0.66, 0.52, 0.23, 0.5, 0.0, 0.53, 0.22, negative
0.58, 0.67, 0.49, 0.16, 0.5, 0.0, 0.47, 0.28, negative
0.41, 0.47, 0.5, 0.14, 0.5, 0.0, 0.53, 0.37, positive
