@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
7, 31, 217, 4.429, 0.267, 0.714, 2.15, 58, 155, 27, negative
7, 16, 112, 2.286, 0.241, 0.634, 2.45, 27, 71, 11, negative
7, 8, 56, 1.143, 0.161, 0.518, 1.8, 9, 29, 5, negative
11, 7, 77, 0.636, 0.468, 0.481, 36.0, 36, 37, 1, negative
8, 14, 112, 1.75, 0.143, 1.0, 2.67, 16, 112, 6, negative
9, 22, 198, 2.444, 0.318, 0.909, 2.42, 63, 180, 26, negative
9, 34, 306, 3.778, 0.31, 0.895, 1.61, 95, 274, 59, negative
12, 41, 492, 3.417, 0.289, 0.74, 2.06, 142, 364, 69, negative
1, 11, 11, 11.0, 0.727, 1.0, 4.0, 8, 11, 2, positive
1, 98, 98, 98.0, 0.939, 1.0, 30.67, 92, 98, 3, positive
8, 71, 568, 8.875, 0.329, 0.776, 1.83, 187, 441, 102, negative
13, 77, 1001, 5.923, 0.258, 0.564, 3.04, 258, 565, 85, negative
11, 22, 242, 2.0, 0.417, 0.694, 4.04, 101, 168, 25, negative
10, 38, 380, 3.8, 0.424, 0.939, 2.78, 161, 357, 58, negative
9, 36, 324, 4.0, 0.506, 0.91, 2.93, 164, 295, 56, negative
9, 49, 441, 5.444, 0.58, 0.995, 2.98, 256, 439, 86, negative
1, 15, 15, 15.0, 0.867, 1.0, 6.5, 13, 15, 2, positive
9, 64, 576, 7.111, 0.318, 0.818, 2.18, 183, 471, 84, negative
9, 33, 297, 3.667, 0.424, 0.97, 1.85, 126, 288, 68, negative
9, 81, 729, 9.0, 0.328, 0.916, 2.04, 239, 668, 117, negative
10, 122, 1220, 12.2, 0.294, 0.689, 2.1, 359, 840, 171, negative
1, 17, 17, 17.0, 0.765, 1.0, 6.5, 13, 17, 2, positive
11, 22, 242, 2.0, 0.293, 0.798, 2.37, 71, 193, 30, negative
12, 8, 96, 0.667, 0.51, 0.927, 7.0, 49, 89, 7, negative
11, 8, 88, 0.727, 0.716, 1.0, 7.88, 63, 88, 8, negative
10, 49, 490, 4.9, 0.529, 0.939, 3.01, 259, 460, 86, negative
11, 101, 1111, 9.182, 0.267, 0.849, 1.72, 297, 943, 173, negative
10, 98, 980, 9.8, 0.3, 0.781, 1.72, 294, 765, 171, negative
8, 7, 56, 0.875, 0.321, 0.429, 6.0, 18, 24, 3, negative
10, 126, 1260, 12.6, 0.456, 0.875, 2.98, 575, 1103, 193, negative
1, 14, 14, 14.0, 0.857, 1.0, 12.0, 12, 14, 1, positive
8, 15, 120, 1.875, 0.258, 0.683, 3.88, 31, 82, 8, negative
8, 14, 112, 1.75, 0.277, 0.643, 2.82, 31, 72, 11, negative
10, 7, 70, 0.7, 0.429, 0.429, 30.0, 30, 30, 1, negative
8, 53, 424, 6.625, 0.33, 0.894, 1.63, 140, 379, 86, negative
9, 83, 747, 9.222, 0.293, 0.751, 2.28, 219, 561, 96, negative
9, 126, 1134, 14.0, 0.484, 0.953, 2.83, 549, 1081, 194, negative
1, 147, 147, 147.0, 0.864, 1.0, 11.55, 127, 147, 11, positive
10, 131, 1310, 13.1, 0.487, 0.856, 2.94, 638, 1121, 217, negative
10, 31, 310, 3.1, 0.3, 0.813, 3.32, 93, 252, 28, negative
7, 49, 343, 7.0, 0.297, 0.641, 2.08, 102, 220, 49, negative
13, 487, 6331, 37.462, 0.247, 0.63, 2.1, 1564, 3988, 745, negative
11, 1, 11, 0.091, 1.0, 1.0, 11.0, 11, 11, 1, positive
13, 106, 1378, 8.154, 0.306, 0.688, 2.37, 422, 948, 178, negative
8, 185, 1480, 23.125, 0.235, 0.659, 1.82, 348, 975, 191, negative
6, 89, 534, 14.833, 0.303, 0.79, 1.82, 162, 422, 89, negative
10, 94, 940, 9.4, 0.25, 0.721, 1.7, 235, 678, 138, negative
9, 59, 531, 6.556, 0.492, 0.861, 3.22, 261, 457, 81, negative
49, 79, 3871, 1.612, 0.084, 0.179, 7.36, 324, 694, 44, positive
9, 107, 963, 11.889, 0.383, 0.858, 2.22, 369, 826, 166, negative
5, 39, 195, 7.8, 0.344, 0.728, 2.09, 67, 142, 32, negative
7, 175, 1225, 25.0, 0.337, 0.991, 1.87, 413, 1214, 221, negative
9, 84, 756, 9.333, 0.407, 0.878, 2.75, 308, 664, 112, negative
5, 29, 145, 5.8, 0.538, 0.89, 2.36, 78, 129, 33, negative
12, 410, 4920, 34.167, 0.333, 0.661, 2.69, 1636, 3254, 608, negative
12, 410, 4920, 34.167, 0.324, 0.706, 2.47, 1595, 3474, 645, negative
13, 277, 3601, 21.308, 0.293, 0.636, 2.59, 1054, 2292, 407, negative
8, 69, 552, 8.625, 0.415, 0.984, 2.16, 229, 543, 106, negative
9, 43, 387, 4.778, 0.388, 0.886, 2.73, 150, 343, 55, negative
33, 160, 5280, 4.848, 0.219, 0.389, 6.34, 1154, 2054, 182, negative
9, 35, 315, 3.889, 0.59, 0.86, 3.88, 186, 271, 48, negative
11, 37, 407, 3.364, 0.371, 0.899, 2.01, 151, 366, 75, negative
12, 37, 444, 3.083, 0.41, 0.748, 3.87, 182, 332, 47, negative
7, 172, 1204, 24.571, 0.294, 0.967, 2.07, 354, 1164, 171, negative
9, 76, 684, 8.444, 0.436, 0.955, 2.37, 298, 653, 126, negative
5, 43, 215, 8.6, 0.265, 0.786, 1.33, 57, 169, 43, negative
6, 39, 234, 6.5, 0.303, 0.739, 1.58, 71, 173, 45, negative
10, 127, 1270, 12.7, 0.388, 0.798, 2.35, 493, 1014, 210, negative
8, 127, 1016, 15.875, 0.314, 0.825, 1.98, 319, 838, 161, negative
22, 71, 1562, 3.227, 0.499, 0.836, 10.99, 780, 1306, 71, negative
6, 51, 306, 8.5, 0.454, 0.817, 2.44, 139, 250, 57, negative
13, 414, 5382, 31.846, 0.357, 0.653, 3.08, 1919, 3514, 623, negative
6, 89, 534, 14.833, 0.403, 0.82, 2.03, 215, 438, 106, negative
19, 45, 855, 2.368, 0.243, 0.582, 3.01, 208, 498, 69, negative
9, 77, 693, 8.556, 0.251, 0.56, 1.87, 174, 388, 93, negative
85, 69, 5865, 0.812, 0.165, 0.441, 1.44, 969, 2588, 674, positive
7, 15, 105, 2.143, 0.114, 0.295, 2.4, 12, 31, 5, positive
8, 11, 88, 1.375, 0.318, 0.864, 1.33, 28, 76, 21, negative
10, 15, 150, 1.5, 0.247, 0.72, 1.61, 37, 108, 23, negative
10, 7, 70, 0.7, 0.157, 0.6, 1.57, 11, 42, 7, positive
13, 8, 104, 0.615, 0.154, 0.769, 1.07, 16, 80, 15, positive
8, 1, 8, 0.125, 0.875, 1.0, 7.0, 7, 8, 1, positive
8, 240, 1920, 30.0, 0.193, 0.635, 1.4, 370, 1220, 264, negative
7, 23, 161, 3.286, 0.373, 0.851, 1.71, 60, 137, 35, negative
5, 12, 60, 2.4, 0.267, 0.733, 1.78, 16, 44, 9, negative
8, 96, 768, 12.0, 0.111, 0.479, 1.35, 85, 368, 63, negative
11, 243, 2673, 22.091, 0.117, 0.342, 1.41, 314, 914, 223, negative
5, 6, 30, 1.2, 0.367, 0.767, 3.67, 11, 23, 3, negative
7, 9, 63, 1.286, 0.317, 0.984, 2.22, 20, 62, 9, negative
7, 32, 224, 4.571, 0.339, 0.786, 1.46, 76, 176, 52, negative
5, 43, 215, 8.6, 0.233, 0.8, 1.35, 50, 172, 37, negative
6, 13, 78, 2.167, 0.295, 0.897, 1.64, 23, 70, 14, negative
6, 41, 246, 6.833, 0.224, 0.85, 1.2, 55, 209, 46, negative
6, 13, 78, 2.167, 0.308, 0.872, 1.6, 24, 68, 15, negative
4, 14, 56, 3.5, 0.268, 0.732, 1.67, 15, 41, 9, negative
6, 13, 78, 2.167, 0.282, 0.936, 1.57, 22, 73, 14, negative
9, 17, 153, 1.889, 0.183, 0.529, 1.75, 28, 81, 16, negative
10, 19, 190, 1.9, 0.142, 0.326, 3.0, 27, 62, 9, negative
9, 107, 963, 11.889, 0.204, 0.683, 1.42, 196, 658, 138, negative
9, 19, 171, 2.111, 0.269, 0.643, 1.35, 46, 110, 34, negative
5, 11, 55, 2.2, 0.345, 0.873, 1.46, 19, 48, 13, negative
5, 16, 80, 3.2, 0.425, 1.0, 1.36, 34, 80, 25, negative
5, 8, 40, 1.6, 0.6, 0.975, 2.18, 24, 39, 11, negative
9, 46, 414, 5.111, 0.242, 0.737, 1.47, 100, 305, 68, negative
9, 8, 72, 0.889, 0.264, 1.0, 1.27, 19, 72, 15, negative
7, 30, 210, 4.286, 0.352, 0.79, 1.54, 74, 166, 48, negative
7, 7, 49, 1.0, 0.408, 0.857, 2.22, 20, 42, 9, negative
7, 11, 77, 1.571, 0.364, 0.922, 1.75, 28, 71, 16, negative
7, 11, 77, 1.571, 0.312, 0.987, 1.2, 24, 76, 20, negative
8, 11, 88, 1.375, 0.25, 0.83, 1.29, 22, 73, 17, negative
8, 5, 40, 0.625, 0.375, 0.95, 1.67, 15, 38, 9, negative
7, 15, 105, 2.143, 0.229, 0.981, 1.41, 24, 103, 17, negative
7, 8, 56, 1.143, 0.357, 0.893, 2.22, 20, 50, 9, negative
7, 24, 168, 3.429, 0.274, 0.661, 1.48, 46, 111, 31, negative
8, 16, 128, 2.0, 0.258, 0.945, 1.18, 33, 121, 28, negative
8, 93, 744, 11.625, 0.185, 0.538, 1.24, 138, 400, 111, negative
7, 23, 161, 3.286, 0.329, 0.845, 1.66, 53, 136, 32, negative
7, 9, 63, 1.286, 0.333, 0.952, 1.4, 21, 60, 15, negative
7, 32, 224, 4.571, 0.277, 0.83, 1.41, 62, 186, 44, negative
6, 6, 36, 1.0, 0.361, 1.0, 1.44, 13, 36, 9, negative
6, 21, 126, 3.5, 0.349, 1.0, 1.33, 44, 126, 33, negative
7, 5, 35, 0.714, 0.371, 0.829, 1.86, 13, 29, 7, negative
7, 11, 77, 1.571, 0.286, 0.909, 1.29, 22, 70, 17, negative
7, 11, 77, 1.571, 0.364, 0.922, 2.0, 28, 71, 14, negative
7, 19, 133, 2.714, 0.406, 0.94, 1.74, 54, 125, 31, negative
7, 20, 140, 2.857, 0.257, 0.75, 1.33, 36, 105, 27, negative
7, 30, 210, 4.286, 0.338, 0.762, 1.54, 71, 160, 46, negative
7, 32, 224, 4.571, 0.272, 0.862, 1.53, 61, 193, 40, negative
6, 14, 84, 2.333, 0.274, 1.0, 1.28, 23, 84, 18, negative
6, 24, 144, 4.0, 0.292, 0.778, 1.35, 42, 112, 31, negative
7, 11, 77, 1.571, 0.416, 0.961, 1.6, 32, 74, 20, negative
7, 11, 77, 1.571, 0.299, 1.0, 1.77, 23, 77, 13, negative
6, 13, 78, 2.167, 0.308, 1.0, 1.41, 24, 78, 17, negative
6, 30, 180, 5.0, 0.311, 0.8, 1.22, 56, 144, 46, negative
7, 14, 98, 2.0, 0.347, 1.0, 2.0, 34, 98, 17, negative
7, 11, 77, 1.571, 0.364, 0.896, 1.47, 28, 69, 19, negative
7, 33, 231, 4.714, 0.264, 0.844, 1.2, 61, 195, 51, negative
6, 6, 36, 1.0, 0.417, 1.0, 1.88, 15, 36, 8, negative
7, 20, 140, 2.857, 0.25, 0.657, 1.46, 35, 92, 24, negative
7, 11, 77, 1.571, 0.325, 0.831, 1.47, 25, 64, 17, negative
5, 14, 70, 2.8, 0.386, 0.857, 1.69, 27, 60, 16, negative
7, 11, 77, 1.571, 0.416, 0.818, 2.0, 32, 63, 16, negative
9, 22, 198, 2.444, 0.212, 0.763, 1.62, 42, 151, 26, negative
7, 7, 49, 1.0, 0.327, 1.0, 2.0, 16, 49, 8, negative
5, 40, 200, 8.0, 0.44, 0.935, 1.4, 88, 187, 63, negative
9, 26, 234, 2.889, 0.291, 0.795, 1.74, 68, 186, 39, negative
9, 91, 819, 10.111, 0.206, 0.731, 1.37, 169, 599, 123, negative
9, 30, 270, 3.333, 0.285, 0.6, 1.51, 77, 162, 51, negative
6, 16, 96, 2.667, 0.354, 1.0, 1.48, 34, 96, 23, negative
9, 48, 432, 5.333, 0.257, 0.738, 1.41, 111, 319, 79, negative
5, 27, 135, 5.4, 0.304, 0.889, 1.41, 41, 120, 29, negative
7, 17, 119, 2.429, 0.361, 0.782, 1.65, 43, 93, 26, negative
5, 4, 20, 0.8, 0.5, 0.7, 10.0, 10, 14, 1, negative
9, 20, 180, 2.222, 0.261, 0.617, 1.68, 47, 111, 28, negative
7, 30, 210, 4.286, 0.324, 0.948, 1.55, 68, 199, 44, negative
7, 31, 217, 4.429, 0.281, 0.682, 1.56, 61, 148, 39, negative
10, 262, 2620, 26.2, 0.185, 0.655, 1.31, 484, 1715, 369, negative
9, 53, 477, 5.889, 0.252, 0.677, 1.54, 120, 323, 78, negative
6, 17, 102, 2.833, 0.294, 0.863, 1.15, 30, 88, 26, negative
6, 29, 174, 4.833, 0.305, 0.966, 1.26, 53, 168, 42, negative
6, 5, 30, 0.833, 0.333, 0.833, 1.67, 10, 25, 6, negative
5, 33, 165, 6.6, 0.315, 0.909, 1.27, 52, 150, 41, negative
9, 39, 351, 4.333, 0.256, 0.698, 1.64, 90, 245, 55, negative
7, 54, 378, 7.714, 0.304, 0.876, 1.26, 115, 331, 91, negative
6, 10, 60, 1.667, 0.267, 0.55, 1.78, 16, 33, 9, negative
5, 10, 50, 2.0, 0.36, 1.0, 1.29, 18, 50, 14, negative
5, 43, 215, 8.6, 0.33, 0.819, 1.16, 71, 176, 61, negative
6, 10, 60, 1.667, 0.45, 0.85, 1.93, 27, 51, 14, negative
10, 12, 120, 1.2, 0.208, 0.583, 1.67, 25, 70, 15, positive
24, 18, 432, 0.75, 0.139, 0.377, 2.07, 60, 163, 29, positive
10, 29, 290, 2.9, 0.307, 0.855, 1.85, 89, 248, 48, negative
10, 12, 120, 1.2, 0.333, 0.867, 1.82, 40, 104, 22, negative
8, 18, 144, 2.25, 0.424, 0.889, 2.03, 61, 128, 30, negative
8, 1, 8, 0.125, 0.875, 1.0, 7.0, 7, 8, 1, positive
8, 26, 208, 3.25, 0.423, 0.851, 2.44, 88, 177, 36, negative
8, 35, 280, 4.375, 0.443, 0.996, 2.14, 124, 279, 58, negative
8, 20, 160, 2.5, 0.506, 1.0, 2.45, 81, 160, 33, negative
8, 12, 96, 1.5, 0.417, 0.938, 2.0, 40, 90, 20, negative
7, 16, 112, 2.286, 0.446, 0.946, 2.0, 50, 106, 25, negative
11, 15, 165, 1.364, 0.358, 0.752, 2.19, 59, 124, 27, negative
10, 6, 60, 0.6, 0.433, 1.0, 2.6, 26, 60, 10, negative
8, 31, 248, 3.875, 0.427, 0.992, 2.16, 106, 246, 49, negative
10, 18, 180, 1.8, 0.389, 0.817, 1.89, 70, 147, 37, negative
8, 34, 272, 4.25, 0.371, 0.765, 2.1, 101, 208, 48, negative
10, 35, 350, 3.5, 0.337, 0.711, 2.62, 118, 249, 45, negative
53, 48, 2544, 0.906, 0.157, 0.269, 7.84, 400, 685, 51, positive
9, 26, 234, 2.889, 0.385, 0.85, 1.88, 90, 199, 48, negative
11, 25, 275, 2.273, 0.327, 0.84, 1.96, 90, 231, 46, negative
8, 1, 8, 0.125, 1.0, 1.0, 8.0, 8, 8, 1, positive
11, 79, 869, 7.182, 0.321, 0.713, 2.11, 279, 620, 132, negative
9, 22, 198, 2.444, 0.268, 0.596, 3.31, 53, 118, 16, negative
6, 18, 108, 3.0, 0.537, 0.981, 2.64, 58, 106, 22, negative
8, 12, 96, 1.5, 0.427, 0.719, 2.73, 41, 69, 15, negative
8, 37, 296, 4.625, 0.375, 0.753, 2.22, 111, 223, 50, negative
8, 15, 120, 1.875, 0.517, 0.867, 2.48, 62, 104, 25, negative
11, 272, 2992, 24.727, 0.279, 0.681, 1.97, 835, 2039, 423, negative
7, 12, 84, 1.714, 0.464, 1.0, 2.17, 39, 84, 18, negative
8, 14, 112, 1.75, 0.464, 0.768, 2.6, 52, 86, 20, negative
10, 28, 280, 2.8, 0.375, 0.657, 2.33, 105, 184, 45, negative
11, 25, 275, 2.273, 0.36, 0.909, 2.11, 99, 250, 47, negative
8, 4, 32, 0.5, 0.406, 1.0, 2.17, 13, 32, 6, negative
11, 31, 341, 2.818, 0.323, 0.83, 2.08, 110, 283, 53, negative
10, 25, 250, 2.5, 0.408, 0.68, 2.43, 102, 170, 42, negative
10, 47, 470, 4.7, 0.338, 0.698, 2.3, 159, 328, 69, negative
8, 202, 1616, 25.25, 0.313, 0.689, 1.83, 505, 1114, 276, negative
8, 18, 144, 2.25, 0.361, 0.944, 2.17, 52, 136, 24, negative
5, 7, 35, 1.4, 0.657, 0.886, 3.83, 23, 31, 6, negative
8, 15, 120, 1.875, 0.433, 0.975, 2.0, 52, 117, 26, negative
10, 67, 670, 6.7, 0.321, 0.81, 2.29, 215, 543, 94, negative
9, 19, 171, 2.111, 0.386, 0.912, 2.2, 66, 156, 30, negative
6, 14, 84, 2.333, 0.571, 1.0, 2.29, 48, 84, 21, negative
11, 60, 660, 5.455, 0.32, 0.608, 2.01, 211, 401, 105, negative
8, 18, 144, 2.25, 0.396, 0.882, 1.84, 57, 127, 31, negative
8, 39, 312, 4.875, 0.388, 0.933, 2.2, 121, 291, 55, negative
8, 12, 96, 1.5, 0.438, 1.0, 2.0, 42, 96, 21, negative
11, 25, 275, 2.273, 0.335, 0.931, 2.56, 92, 256, 36, negative
10, 18, 180, 1.8, 0.383, 1.0, 2.3, 69, 180, 30, negative
10, 30, 300, 3.0, 0.307, 0.94, 1.96, 92, 282, 47, negative
11, 76, 836, 6.909, 0.254, 0.688, 2.08, 212, 575, 102, negative
10, 27, 270, 2.7, 0.344, 0.804, 2.38, 93, 217, 39, negative
8, 55, 440, 6.875, 0.225, 0.645, 1.77, 99, 284, 56, negative
8, 69, 552, 8.625, 0.366, 0.897, 1.94, 202, 495, 104, negative
10, 61, 610, 6.1, 0.305, 0.952, 1.98, 186, 581, 94, negative
8, 16, 128, 2.0, 0.43, 1.0, 2.04, 55, 128, 27, negative
8, 7, 56, 0.875, 0.411, 1.0, 2.09, 23, 56, 11, negative
10, 37, 370, 3.7, 0.324, 0.692, 1.85, 120, 256, 65, negative
8, 8, 64, 1.0, 0.359, 0.766, 1.64, 23, 49, 14, negative
8, 22, 176, 2.75, 0.392, 0.778, 2.3, 69, 137, 30, negative
8, 12, 96, 1.5, 0.438, 0.927, 2.1, 42, 89, 20, negative
10, 35, 350, 3.5, 0.326, 0.583, 2.24, 114, 204, 51, negative
8, 13, 104, 1.625, 0.365, 0.808, 1.9, 38, 84, 20, negative
10, 44, 440, 4.4, 0.318, 0.87, 1.75, 140, 383, 80, negative
10, 26, 260, 2.6, 0.273, 0.815, 1.87, 71, 212, 38, negative
9, 114, 1026, 12.667, 0.272, 0.741, 1.86, 279, 760, 150, negative
8, 9, 72, 1.125, 0.417, 1.0, 2.31, 30, 72, 13, negative
1, 25, 25, 25.0, 1.0, 1.0, 25.0, 25, 25, 1, negative
6, 21, 126, 3.5, 0.246, 0.254, 31.0, 31, 32, 1, positive
10, 10, 100, 1.0, 0.35, 0.89, 1.94, 35, 89, 18, negative
5, 13, 65, 2.6, 0.462, 0.677, 4.29, 30, 44, 7, negative
9, 14, 126, 1.556, 0.278, 1.0, 2.06, 35, 126, 17, negative
8, 16, 128, 2.0, 0.328, 0.961, 1.91, 42, 123, 22, negative
8, 39, 312, 4.875, 0.362, 0.881, 1.74, 113, 275, 65, negative
8, 16, 128, 2.0, 0.328, 0.969, 1.91, 42, 124, 22, negative
37, 20, 740, 0.541, 0.131, 0.193, 4.22, 97, 143, 23, positive
10, 31, 310, 3.1, 0.316, 0.752, 1.66, 98, 233, 59, negative
6, 3, 18, 0.5, 0.556, 0.556, 10.0, 10, 10, 1, negative
5, 3, 15, 0.6, 0.6, 0.6, 9.0, 9, 9, 1, negative
9, 2, 18, 0.222, 0.611, 0.722, 11.0, 11, 13, 1, positive
11, 221, 2431, 20.091, 0.25, 0.544, 1.95, 607, 1323, 312, negative
6, 15, 90, 2.5, 0.467, 0.711, 3.23, 42, 64, 13, negative
8, 14, 112, 1.75, 0.482, 0.679, 3.0, 54, 76, 18, negative
8, 22, 176, 2.75, 0.295, 0.483, 2.6, 52, 85, 20, negative
8, 31, 248, 3.875, 0.351, 0.839, 1.98, 87, 208, 44, negative
5, 23, 115, 4.6, 0.504, 0.783, 2.42, 58, 90, 24, negative
6, 26, 156, 4.333, 0.423, 0.769, 2.36, 66, 120, 28, negative
5, 30, 150, 6.0, 0.587, 0.96, 2.44, 88, 144, 36, negative
8, 71, 568, 8.875, 0.289, 0.574, 1.64, 164, 326, 100, negative
10, 33, 330, 3.3, 0.342, 0.927, 1.66, 113, 306, 68, negative
8, 14, 112, 1.75, 0.438, 0.768, 2.23, 49, 86, 22, negative
11, 19, 209, 1.727, 0.306, 0.789, 2.46, 64, 165, 26, negative
5, 10, 50, 2.0, 0.56, 0.96, 2.33, 28, 48, 12, negative
10, 18, 180, 1.8, 0.311, 0.706, 1.93, 56, 127, 29, negative
7, 62, 434, 8.857, 0.392, 0.871, 1.87, 170, 378, 91, negative
8, 16, 128, 2.0, 0.383, 0.742, 2.33, 49, 95, 21, negative
8, 41, 328, 5.125, 0.378, 0.945, 1.61, 124, 310, 77, negative
8, 60, 480, 7.5, 0.335, 0.915, 1.85, 161, 439, 87, negative
6, 10, 60, 1.667, 0.483, 0.933, 2.07, 29, 56, 14, negative
10, 29, 290, 2.9, 0.29, 0.803, 1.83, 84, 233, 46, negative
8, 13, 104, 1.625, 0.356, 0.942, 1.76, 37, 98, 21, negative
9, 18, 162, 2.0, 0.327, 0.914, 1.89, 53, 148, 28, negative
10, 27, 270, 2.7, 0.367, 0.83, 1.87, 99, 224, 53, negative
8, 23, 184, 2.875, 0.462, 1.0, 1.89, 85, 184, 45, negative
8, 23, 184, 2.875, 0.375, 0.88, 2.09, 69, 162, 33, negative
8, 39, 312, 4.875, 0.369, 0.99, 2.05, 115, 309, 56, negative
8, 15, 120, 1.875, 0.417, 0.925, 2.17, 50, 111, 23, negative
10, 251, 2510, 25.1, 0.281, 0.708, 1.77, 705, 1776, 398, negative
8, 25, 200, 3.125, 0.335, 0.77, 1.68, 67, 154, 40, negative
8, 9, 72, 1.125, 0.389, 0.708, 2.33, 28, 51, 12, negative
10, 261, 2610, 26.1, 0.269, 0.713, 1.81, 701, 1860, 388, negative
9, 42, 378, 4.667, 0.325, 0.823, 1.71, 123, 311, 72, negative
7, 18, 126, 2.571, 0.397, 0.984, 1.79, 50, 124, 28, negative
9, 29, 261, 3.222, 0.307, 0.648, 1.95, 80, 169, 41, negative
5, 7, 35, 1.4, 0.6, 1.0, 2.33, 21, 35, 9, negative
8, 15, 120, 1.875, 0.425, 0.925, 1.96, 51, 111, 26, negative
8, 24, 192, 3.0, 0.375, 0.964, 1.8, 72, 185, 40, negative
10, 44, 440, 4.4, 0.35, 0.957, 1.9, 154, 421, 81, negative
8, 43, 344, 5.375, 0.34, 0.892, 1.83, 117, 307, 64, negative
7, 20, 140, 2.857, 0.429, 1.0, 1.94, 60, 140, 31, negative
10, 41, 410, 4.1, 0.266, 0.539, 1.98, 109, 221, 55, negative
